PFF_ID,NAME,TYPE,SUB_TYPE,OWNER,OPERATOR,TOWNSHIP,CARGO,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,FC_ID,RIVER_ID,ACRES,SOURCE,ACT_1,FCENTER,PORT_ID,LAT,LONG_,CAP_6
PT21,Packer Avenue Marine Terminal,General Cargo,,Philadelphia Regional Port Authority,"Greenwich Terminals, LLC",Philadelphia City,"Containers, steel products, frozen meat, fruit, heavy lift, project, paper",6,"3,800",40,"1-375 ton container, 3-45 ton container, 1-40 ton container, 1-72 ton container",2.49 million sq. ft.,FC16,,112,"2013 Maritime Exchange, 2014 DVRPC",394,16,21,39.900931,-75.135126,6
PT22,Penn Terminals,General Cargo,,Penn Terminals,Penn Terminals,Eddystone Borough,"Containers, fruit, autos, clothes, & project",2,"1,150",37,"2-220 ton heavy lift, 2-40 ton container, 1-30 ton container","400,000 sq. ft.",,,78,"2013 Maritime Exchange, 2014 DVRPC",125,0,22,39.852668,-75.340683,5
PT28,Pier H Port Richmond,Bulk,Hazardous,"Westway Terminals, Inc.","Westway Terminals, Inc.",Philadelphia City,Petroleum Products,,,,no crane reported,,FC15,,2,"2013 Maritime Exchange, 2014 DVRPC",35,15,28,39.976563,-75.097812,0
PT3,Kinder Morgan Liquid Terminal,Bulk,Hazardous,Kinder Morgan,Kinder Morgan,Philadelphia City,Chemicals,,,,no crane reported,,FC8,,3,"2013 Maritime Exchange, 2014 DVRPC",50,8,3,39.977354,-75.093596,0
PT2,Buckeye Pennsauken Terminal,Bulk,Hazardous,Buckeye Partner LP,Buckeye Pennsauken Terminal LLC,Pennsauken Township,Petroleum Products,,,,no crane reported,,,,85,"2013 Maritime Exchange, 2014 DVRPC",33,0,2,39.977329,-75.064561,0
PT9,Girard Point,Bulk,Hazardous,Sunoco Logistics,Sunoco Logistics,Philadelphia City,Petroleum Products,,,,no crane reported,,FC17,,1310,"2013 Maritime Exchange, 2014 DVRPC",3,17,9,39.895896,-75.204991,0
PT4,Georgia Pacific,Bulk,,Georgic Pacific Gypsum,Georgic Pacific Gypsum,Camden City,Gypsum,,,,no crane reported,,FC37,,29,"2013 Maritime Exchange, 2014 DVRPC",1,37,4,39.931587,-75.130564,0
PT1,Riverside,Bulk,,Riverside Construction Materials Inc,Riverside Construction Materials Inc,Bristol Township,Cement,,,,no crane reported,,,,48,"2013 Maritime Exchange, 2014 DVRPC",8,0,1,40.129793,-74.821852,0
PT14,Philadelphia Forest Products Center [Piers 78/80],General Cargo,,Philadelphia Regional Port Authority,Penn Warehousing & Distribution,Philadelphia City,"Newsprint, coated paper, wood pulp, other forest products",4,"3,892",35,no crane reported,1.27 million sq. ft.,FC16,,44,"2013 Maritime Exchange, 2014 DVRPC",46,16,14,39.91957,-75.136685,0
PT24,SouthPort (planned),TBD,,Philadelphia Regional Port Authority,TBD,Philadelphia City,TBD,TBD,TBD,TBD,TBD,TBD,FC16,,34,"2013 Maritime Exchange, 2014 DVRPC",not active,16,24,39.891365,-75.142444,TBD
PT15,Philadelphia Forest Products Center [Piers 38/40],General Cargo,,Philadelphia Regional Port Authority,Penn Warehousing & Distribution,Philadelphia City,"Newsprint, coated paper, wood pulp, other forest products",3,"1,721",32,no crane reported,"180,000 sq. ft.",,,12,"2013 Maritime Exchange, 2014 DVRPC",0,0,15,39.935627,-75.140212,0
PT10,National Gypsum,Bulk,,National Gypsum Company,National Gypsum Company,Burlington Township,Gypsum,,,,no crane reported,,FC10,,43,"2013 Maritime Exchange, 2014 DVRPC",8,10,10,40.108552,-74.830461,0
PT6,Fort Mifflin,Bulk,Hazardous,Sunoco Logistics,Sunoco Logistics,Tinicum Township,Petroleum Products,,,,no crane reported,,FC18,,122,"2013 Maritime Exchange, 2014 DVRPC",129,18,6,39.871786,-75.219371,0
PT29,Axeon Paulsboro,Bulk,Hazardous,Axeon Specialty Products,Axeon Specialty Products,West Deptford Township,Petroleum Products,,,,no crane reported,,FC20,,112,"2013 Maritime Exchange, 2014 DVRPC",53,20,29,39.852423,-75.22707,0
PT7,Paulsboro Marine Terminal,TBD,,South Jersey Port Corporation,South Jersey Port Corporation,Paulsboro Borough,TBD,TBD,TBD,TBD,TBD,TBD,FC20,,97,"2014 SJPC, 2014 DVRPC",not active,20,7,39.851204,-75.23546,TBD
PT12,PBF Paulsboro,Bulk,Hazardous,PBF Energy,PBF Energy,Paulsboro Borough,Petroleum Products,,,,no crane reported,,FC20,,709,"2013 Maritime Exchange, 2014 DVRPC",128,20,12,39.844861,-75.265537,0
PT5,Eagle Point,Bulk,Hazardous,Sunoco Logistics,Sunoco Logistics,Westville Borough,Petroleum Products,,,40,no crane reported,,FC21,,1145,"2013 Maritime Exchange, 2014 DVRPC",39,21,5,39.876549,-75.156176,0
PT11,Monroe (Trainer),Bulk,Hazardous,Monroe Energy,Monroe Energy,Trainer Borough,Petroleum Products,,,,no crane reported,,FC34,,292,"2013 Maritime Exchange, 2014 DVRPC",19,34,11,39.81494,-75.406462,0
PT8,Marcus Hook,Bulk,Hazardous,Sunoco Logistics,Sunoco Logistics,Marcus Hook Borough,Petroleum Products,,,40,no crane reported,,FC34,,693,"2013 Maritime Exchange, 2014 DVRPC",26,34,8,39.808323,-75.422632,0
PT27,Hog Island,Bulk,Hazardous,Sunoco Logistics,Sunoco Logistics,Tinicum Township,Petroleum Products,,,,no crane reported,,FC18,,15,"2013 Maritime Exchange, 2014 DVRPC",5,18,27,39.863101,-75.233615,0
PT26,Mercer County Generating Station,Bulk,,"PSEG Power, LLC","PSEG Power, LLC",Hamilton Township,Coal,,,,no crane reported,,,,112,"2014 PSEG, 2013 DVRPC",86,0,26,40.177201,-74.733342,0
PT33,Pier 96,General Cargo,,Philadelphia Regional Port Authority,"Greenwich Terminals, LLC",Philadelphia City,"Automobiles, project, heavy equipment",2,"2,640",32,no crane reported,"95,000 sq. ft.",FC16,,10,"2013 Maritime Exchange, 2014 DVRPC, 2014 PRPA",not reported,16,33,39.91266,-75.134592,0
PT35,Eddystone Rail-to-Barge,Bulk,Hazardous,Enbridge Energy,Eddystone Rail Company,Eddystone Borough,Petroleum Products,,,,no crane reported,,,,89,,,0,35,39.858252,-75.324297,0
PT34,Plains Products Terminal,Bulk,Hazardous,"Plains Products Terminal, LLC","Plains Products Terminal, LLC",Paulsboro Borough,Petroleum Products,,,,no crane reported,,FC20,,37,,,20,34,39.847373,-75.248089,0
